statusId|sensorName|value|timestamp
8|MPU6500 Gyroscope Sensor|[1.5190672,0.096939065,0.082025364]|1525553238205
8|MPU6500 Acceleration Sensor|[-0.31124622,7.855376,3.788824]|1525553238209
8|MPU6500 Gyroscope Sensor|[1.4604776,0.099069595,0.099069595]|1525553238209
8|MPU6500 Acceleration Sensor|[-0.34476504,7.9212165,3.809175]|1525553238215
8|MPU6500 Gyroscope Sensor|[1.3891048,0.09374327,0.12144015]|1525553238215
8|MPU6500 Acceleration Sensor|[-0.29807812,8.085219,4.084508]|1525553238220
8|MPU6500 Gyroscope Sensor|[1.3166668,0.082025364,0.13954964]|1525553238220
8|MPU6500 Acceleration Sensor|[-0.39025488,8.259995,4.1659107]|1525553238225
8|MPU6500 Gyroscope Sensor|[1.2612731,0.068176925,0.15020229]|1525553238225
8|MPU6500 Acceleration Sensor|[-0.46208093,8.445546,4.011485]|1525553238230
8|MPU6500 Gyroscope Sensor|[1.2144015,0.05752428,0.16085494]|1525553238230
8|MPU6500 Acceleration Sensor|[-0.5243302,8.522161,3.891775]|1525553238235
8|MPU6500 Gyroscope Sensor|[1.171791,0.03834952,0.16937704]|1525553238235
8|MPU6500 Acceleration Sensor|[-0.51954174,8.452729,4.048595]|1525553238240
8|MPU6500 Gyroscope Sensor|[1.128115,0.0127831735,0.17896444]|1525553238240
8|MPU6500 Acceleration Sensor|[-0.45848963,8.391677,4.2916064]|1525553238245
8|MPU6500 Gyroscope Sensor|[1.0844392,-0.00958738,0.18535602]|1525553238245
8|MPU6500 Acceleration Sensor|[-0.40342298,8.335413,4.5022964]|1525553238250
8|MPU6500 Gyroscope Sensor|[1.0439591,-0.014913702,0.18535602]|1525553238250
8|MPU6500 Acceleration Sensor|[-0.31483752,8.301894,4.5286326]|1525553238255
8|MPU6500 Gyroscope Sensor|[1.0088054,-0.0063915867,0.18322548]|1525553238255
8|MPU6500 Acceleration Sensor|[-0.18914193,8.221688,4.4939165]|1525553238260
8|MPU6500 Gyroscope Sensor|[0.98110855,-0.0010652645,0.18002969]|1525553238260
8|MPU6500 Acceleration Sensor|[0.023942016,8.101978,4.435259]|1525553238265
8|MPU6500 Gyroscope Sensor|[0.96406436,-0.007456851,0.1736381]|1525553238265
8|MPU6500 Acceleration Sensor|[0.07182605,8.109161,4.3263226]|1525553238270
8|MPU6500 Gyroscope Sensor|[0.95128113,-0.018109497,0.16298546]|1525553238269
8|MPU6500 Acceleration Sensor|[0.107739076,8.157045,4.238934]|1525553238275
8|MPU6500 Gyroscope Sensor|[0.9470201,-0.034088463,0.15126756]|1525553238276
8|MPU6500 Acceleration Sensor|[0.1352724,8.224083,4.1539397]|1525553238280
8|MPU6500 Gyroscope Sensor|[0.94595486,-0.051132694,0.1438107]|1525553238280
8|MPU6500 Acceleration Sensor|[0.22266077,8.285135,3.9935284]|1525553238286
8|MPU6500 Gyroscope Sensor|[0.9406285,-0.049002163,0.1438107]|1525553238286
8|MPU6500 Acceleration Sensor|[0.36511576,8.359355,3.8965633]|1525553238290
8|MPU6500 Gyroscope Sensor|[0.9235843,-0.040480047,0.15765914]|1525553238290
8|MPU6500 Acceleration Sensor|[0.46926352,8.392874,3.870227]|1525553238295
8|MPU6500 Gyroscope Sensor|[0.9076053,-0.040480047,0.15765914]|1525553238295
8|MPU6500 Acceleration Sensor|[0.51834464,8.431181,3.8774097]|1525553238300
8|MPU6500 Gyroscope Sensor|[0.8863,-0.036218993,0.15765914]|1525553238299
8|MPU6500 Acceleration Sensor|[0.52073884,8.500613,3.9109285]|1525553238305
8|MPU6500 Gyroscope Sensor|[0.8564726,-0.023435818,0.15659387]|1525553238305
8|MPU6500 Acceleration Sensor|[0.5374983,8.586804,3.9815574]|1525553238311
8|MPU6500 Gyroscope Sensor|[0.82557994,-0.007456851,0.15339808]|1525553238311
8|MPU6500 Acceleration Sensor|[0.47884035,8.6813755,3.9911342]|1525553238315
8|MPU6500 Gyroscope Sensor|[0.7957525,0.0063915867,0.14807177]|1525553238315
8|MPU6500 Acceleration Sensor|[0.3854665,8.74961,4.0138793]|1525553238320
8|MPU6500 Gyroscope Sensor|[0.7680557,0.018109497,0.14168017]|1525553238320
8|MPU6500 Acceleration Sensor|[0.32920274,8.755595,4.047398]|1525553238325
8|MPU6500 Gyroscope Sensor|[0.753142,0.024501082,0.14168017]|1525553238325
8|MPU6500 Acceleration Sensor|[0.2777274,8.674192,3.9576154]|1525553238330
8|MPU6500 Gyroscope Sensor|[0.74781567,0.026631612,0.1438107]|1525553238329
8|MPU6500 Acceleration Sensor|[0.19393034,8.6095495,3.9576154]|1525553238334
8|MPU6500 Gyroscope Sensor|[0.7499462,0.02130529,0.1470065]|1525553238335
8|MPU6500 Acceleration Sensor|[0.21787235,8.556877,3.9504328]|1525553238340
8|MPU6500 Gyroscope Sensor|[0.75633776,-0.0031957934,0.15020229]|1525553238340
8|MPU6500 Acceleration Sensor|[0.142455,8.542512,4.0761285]|1525553238346
8|MPU6500 Gyroscope Sensor|[0.76592517,-0.037284255,0.14913702]|1525553238346
8|MPU6500 Acceleration Sensor|[-0.062249243,8.443152,4.3514614]|1525553238350
8|MPU6500 Gyroscope Sensor|[0.773382,-0.056459017,0.1438107]|1525553238350
8|MPU6500 Acceleration Sensor|[-0.10654198,8.41921,4.441244]|1525553238356
8|MPU6500 Gyroscope Sensor|[0.7850999,-0.04580637,0.14913702]|1525553238356
8|MPU6500 Acceleration Sensor|[0.051475335,8.455123,4.253299]|1525553238360
8|MPU6500 Gyroscope Sensor|[0.79255676,-0.01917476,0.16192019]|1525553238359
8|MPU6500 Acceleration Sensor|[0.18315643,8.503007,3.8546648]|1525553238365
8|MPU6500 Gyroscope Sensor|[0.793622,0.008522116,0.17044231]|1525553238366
8|MPU6500 Acceleration Sensor|[0.30406362,8.483853,3.264494]|1525553238371
8|MPU6500 Gyroscope Sensor|[0.78083885,0.026631612,0.17789917]|1525553238371
8|MPU6500 Acceleration Sensor|[0.4429273,8.402451,2.8167782]|1525553238376
8|MPU6500 Gyroscope Sensor|[0.75420725,0.027696876,0.18322548]|1525553238376
8|MPU6500 Acceleration Sensor|[0.5710171,8.3629465,2.8898015]|1525553238380
8|MPU6500 Gyroscope Sensor|[0.71585774,0.017044231,0.18322548]|1525553238380
8|MPU6500 Acceleration Sensor|[0.7098808,8.371326,3.2513258]|1525553238385
8|MPU6500 Gyroscope Sensor|[0.680704,0.002130529,0.18002969]|1525553238385
8|MPU6500 Acceleration Sensor|[0.79966336,8.456321,3.5110967]|1525553238390
8|MPU6500 Gyroscope Sensor|[0.65726817,-0.008522116,0.16937704]|1525553238390
8|MPU6500 Acceleration Sensor|[0.7386112,8.400057,3.6212301]|1525553238395
8|MPU6500 Gyroscope Sensor|[0.63702816,-0.0010652645,0.15339808]|1525553238394
8|MPU6500 Acceleration Sensor|[0.6596026,8.366538,3.6415808]|1525553238400
8|MPU6500 Gyroscope Sensor|[0.6146576,0.024501082,0.13848437]|1525553238400
8|MPU6500 Acceleration Sensor|[0.60214174,8.418014,3.7780502]|1525553238406
8|MPU6500 Gyroscope Sensor|[0.59228706,0.04474111,0.128897]|1525553238406
8|MPU6500 Acceleration Sensor|[0.35673606,8.449138,3.9863458]|1525553238410
8|MPU6500 Gyroscope Sensor|[0.5773733,0.053263225,0.11504856]|1525553238410
8|MPU6500 Acceleration Sensor|[0.19153613,8.392874,4.3526587]|1525553238415
8|MPU6500 Gyroscope Sensor|[0.5752428,0.049002163,0.10546118]|1525553238415
8|MPU6500 Acceleration Sensor|[0.1352724,8.438364,4.5441947]|1525553238420
8|MPU6500 Gyroscope Sensor|[0.5944176,0.04580637,0.096939065]|1525553238420
8|MPU6500 Acceleration Sensor|[-0.019153614,8.4587145,4.4807487]|1525553238425
8|MPU6500 Gyroscope Sensor|[0.62744075,0.046871636,0.08628642]|1525553238424
8|MPU6500 Acceleration Sensor|[-0.18315643,8.443152,4.0857053]|1525553238430
8|MPU6500 Gyroscope Sensor|[0.664725,0.0479369,0.07989483]|1525553238430
8|MPU6500 Acceleration Sensor|[-0.36032736,8.508993,3.5625722]|1525553238435
8|MPU6500 Gyroscope Sensor|[0.69135666,0.041545313,0.07989483]|1525553238435
8|MPU6500 Acceleration Sensor|[-0.4285621,8.584411,3.2010477]|1525553238440
8|MPU6500 Gyroscope Sensor|[0.6956177,0.017044231,0.08735169]|1525553238440
8|MPU6500 Acceleration Sensor|[-0.34476504,8.62152,3.0142999]|1525553238445
8|MPU6500 Gyroscope Sensor|[0.6743124,-0.018109497,0.10013486]|1525553238445
8|MPU6500 Acceleration Sensor|[-0.19273324,8.649054,2.9317]|1525553238450
